Desert Eagle | Conspiracy (Field-Tested)/604.27
Rezan the Redshirt | Sabre/308.7
Osiris | Elite Crew/155.73
XM1014 | Incinegator (Field-Tested)/191.42
SG 553 | Fallout Warning (Battle-Scarred)/115.98
Desert Eagle | Heirloom (Battle-Scarred)/539.61
P250 | Wingshot (Minimal Wear)/278.36
StatTrak™ FAMAS | Roll Cage (Battle-Scarred)/765.0
StatTrak™ MAG-7 | Justice (Well-Worn)/420.0
StatTrak™ Tec-9 | Fuel Injector (Field-Tested)/764.4
M4A1-S | Hyper Beast (Minimal Wear)/6378.9
MAC-10 | Toybox (Field-Tested)/422.85
Glock-18 | Wraiths (Factory New)/103.22
Glock-18 | Snack Attack (Battle-Scarred)/287.1
StatTrak™ P90 | Shapewood (Well-Worn)/345.73
FAMAS | Valence (Battle-Scarred)/184.0
M249 | Emerald Poison Dart (Field-Tested)/148.02
AWP | POP AWP (Well-Worn)/392.01
StatTrak™ G3SG1 | The Executioner (Battle-Scarred)/301.56
SSG 08 | Fever Dream (Factory New)/210.57
SSG 08 | Bloodshot (Battle-Scarred)/809.34
AWP | Phobos (Factory New)/229.63
PP-Bizon | Osiris (Minimal Wear)/104.89
Dual Berettas | Melondrama (Factory New)/1346.57
Tec-9 | Fubar (Minimal Wear)/141.5
SSG 08 | Spring Twilly (Field-Tested)/109.02
PP-Bizon | High Roller (Battle-Scarred)/207.26
USP-S | Ticket to Hell (Factory New)/300.0
AK-47 | Steel Delta (Factory New)/610.01
StatTrak™ M4A1-S | Leaded Glass (Minimal Wear)/2332.89
M4A1-S | Mecha Industries (Factory New)/9400.0
Five-SeveN | Angry Mob (Well-Worn)/414.0
Tec-9 | Safety Net (Factory New)/139.19
StatTrak™ P90 | Grim (Minimal Wear)/110.94
P90 | Chopper (Minimal Wear)/101.25
Tec-9 | Fuel Injector (Battle-Scarred)/207.98
Five-SeveN | Angry Mob (Battle-Scarred)/342.15
AUG | Syd Mead (Battle-Scarred)/200.0
SSG 08 | Turbo Peek (Battle-Scarred)/449.84
MP5-SD | Condition Zero (Factory New)/105.83
AWP | PAW (Battle-Scarred)/190.21
Glock-18 | Weasel (Factory New)/263.17
MP7 | Abyssal Apparition (Field-Tested)/200.6
MAG-7 | Justice (Battle-Scarred)/185.27
StatTrak™ SG 553 | Dragon Tech (Field-Tested)/145.06
Glock-18 | Moonrise (Minimal Wear)/103.88
M4A1-S | Night Terror (Factory New)/270.22
Galil AR | Chromatic Aberration (Minimal Wear)/477.79
M4A4 | Desolate Space (Battle-Scarred)/441.19
StatTrak™ Glock-18 | Umbral Rabbit (Battle-Scarred)/134.98
Cmdr. Mae 'Dead Cold' Jamison | SWAT/1010.0
MP9 | Mount Fuji (Field-Tested)/163.77
SG 553 | Tiger Moth (Minimal Wear)/134.17
G3SG1 | Black Sand (Minimal Wear)/152.31
R8 Revolver | Amber Fade (Well-Worn)/172.0
M4A4 | The Coalition (Battle-Scarred)/1108.79
Desert Eagle | Ocean Drive (Field-Tested)/2750.0
StatTrak™ P90 | Off World (Minimal Wear)/114.82
FAMAS | Pulse (Factory New)/830.1
M4A1-S | Briefing (Battle-Scarred)/425.67
AK-47 | Neon Rider (Minimal Wear)/7855.57
Glock-18 | Royal Legion (Minimal Wear)/330.53
Aspirant | Gendarmerie Nationale/293.51
MAC-10 | Toybox (Battle-Scarred)/272.79
AUG | Syd Mead (Well-Worn)/268.95
StatTrak™ Dual Berettas | Flora Carnivora (Well-Worn)/114.54
M4A4 | Bullet Rain (Field-Tested)/1539.1
StatTrak™ MAC-10 | Sakkaku (Well-Worn)/247.14
SSG 08 | Bloodshot (Field-Tested)/920.5
Glock-18 | Night (Well-Worn)/136.67
P250 | Supernova (Well-Worn)/125.0
Desert Eagle | Code Red (Well-Worn)/2158.03
StatTrak™ Glock-18 | Wasteland Rebel (Field-Tested)/1645.12
StatTrak™ USP-S | Blueprint (Battle-Scarred)/1057.0
P250 | Franklin (Well-Worn)/206.94
UMP-45 | Caramel (Field-Tested)/1017.36
StatTrak™ MP5-SD | Liquidation (Factory New)/371.14
Glock-18 | Sand Dune (Field-Tested)/384.17
StatTrak™ AUG | Momentum (Battle-Scarred)/323.76
Operation Hydra Access Pass/1513.58
StatTrak™ P250 | X-Ray (Field-Tested)/170.0
★ Broken Fang Gloves | Yellow-banded (Battle-Scarred)/6697.73
StatTrak™ Desert Eagle | Heirloom (Field-Tested)/1153.86
USP-S | Caiman (Field-Tested)/4753.01
P250 | Asiimov (Well-Worn)/358.0
M4A4 | Griffin (Field-Tested)/231.64
Tec-9 | Fuel Injector (Factory New)/1611.32
P90 | Nostalgia (Battle-Scarred)/475.0
SSG 08 | Slashed (Well-Worn)/295.44
StatTrak™ M4A4 | In Living Color (Field-Tested)/1790.8
Dual Berettas | Urban Shock (Field-Tested)/120.0
StatTrak™ Tec-9 | Brother (Minimal Wear)/186.48
SSG 08 | Dragonfire (Battle-Scarred)/1210.53
StatTrak™ Dual Berettas | Balance (Well-Worn)/109.03
MAG-7 | Monster Call (Factory New)/198.18
AWP | PAW (Well-Worn)/184.51
P250 | Contaminant (Factory New)/109.02
MAC-10 | Toybox (Well-Worn)/273.52
StatTrak™ G3SG1 | High Seas (Factory New)/773.61
★ Navaja Knife | Forest DDPAT (Field-Tested)/10116.48
★ Driver Gloves | Racing Green (Battle-Scarred)/4999.23
MAG-7 | BI83 Spectrum (Well-Worn)/121.34
M4A1-S | Leaded Glass (Well-Worn)/619.87
Desert Eagle | Urban DDPAT (Battle-Scarred)/167.68
M4A1-S | Control Panel (Well-Worn)/1351.19
USP-S | Blood Tiger (Field-Tested)/267.4
AWP | Chromatic Aberration (Well-Worn)/1431.33
UMP-45 | Momentum (Well-Worn)/358.28
MP5-SD | Acid Wash (Minimal Wear)/165.86
MP5-SD | Autumn Twilly (Field-Tested)/419.0
UMP-45 | Plastique (Minimal Wear)/146.0
Operator | FBI SWAT/535.0
StatTrak™ USP-S | Ticket to Hell (Battle-Scarred)/154.99
Glock-18 | Nuclear Garden (Well-Worn)/691.56
P250 | Muertos (Battle-Scarred)/543.97
Trapper | Guerrilla Warfare/1292.05
SG 553 | Cyrex (Battle-Scarred)/477.16
★ Hand Wraps | Constrictor (Field-Tested)/8239.61
StatTrak™ Glock-18 | Blue Fissure (Minimal Wear)/881.52
StatTrak™ FAMAS | Rapid Eye Movement (Field-Tested)/365.65
Glock-18 | Night (Field-Tested)/154.25
Five-SeveN | Monkey Business (Well-Worn)/228.48
MAC-10 | Button Masher (Factory New)/153.44
M4A1-S | Basilisk (Well-Worn)/721.56
StatTrak™ USP-S | Cortex (Field-Tested)/581.61
MP9 | Goo (Factory New)/161.61
StatTrak™ P250 | X-Ray (Factory New)/374.82
SCAR-20 | Bloodsport (Field-Tested)/278.0
StatTrak™ P250 | Inferno (Field-Tested)/140.59
Dual Berettas | Balance (Battle-Scarred)/135.83
Dual Berettas | Urban Shock (Minimal Wear)/219.95
StatTrak™ AWP | Mortis (Battle-Scarred)/632.5
Galil AR | Chromatic Aberration (Battle-Scarred)/152.0
USP-S | Monster Mashup (Battle-Scarred)/2168.1
StatTrak™ Glock-18 | Bullet Queen (Battle-Scarred)/1605.55
Glock-18 | Moonrise (Factory New)/191.72
MP5-SD | Nitro (Field-Tested)/289.5
Desert Eagle | Blue Ply (Factory New)/133.66
XM1014 | Tranquility (Field-Tested)/450.46
USP-S | The Traitor (Minimal Wear)/2547.39
Five-SeveN | Fowl Play (Battle-Scarred)/186.77
AK-47 | Ice Coaled (Well-Worn)/907.66
P2000 | Scorpion (Factory New)/924.22
Glock-18 | Bullet Queen (Field-Tested)/889.44
SCAR-20 | Bloodsport (Minimal Wear)/446.46
SG 553 | Colony IV (Well-Worn)/861.52
P250 | Franklin (Factory New)/243.0
Anubis Collection Package/198.95
MP7 | Fade (Minimal Wear)/973.55
AUG | Random Access (Battle-Scarred)/113.43
M4A1-S | Nightmare (Well-Worn)/912.0
StatTrak™ MP7 | Bloodsport (Field-Tested)/412.51
'Blueberries' Buckshot | NSWC SEAL/860.38
StatTrak™ Desert Eagle | Printstream (Battle-Scarred)/6626.01
StatTrak™ AUG | Syd Mead (Battle-Scarred)/293.22
M4A4 | Buzz Kill (Battle-Scarred)/897.58
AK-47 | Cartel (Field-Tested)/954.39
StatTrak™ P90 | Chopper (Battle-Scarred)/108.21
Glock-18 | Neo-Noir (Well-Worn)/890.17
P250 | Muertos (Well-Worn)/570.26
UMP-45 | Moonrise (Factory New)/170.24
StatTrak™ USP-S | Neo-Noir (Field-Tested)/4651.8
R8 Revolver | Fade (Field-Tested)/720.06
AUG | Aristocrat (Factory New)/244.16
StatTrak™ Desert Eagle | Mecha Industries (Battle-Scarred)/1094.06
StatTrak™ MP9 | Airlock (Battle-Scarred)/330.19
StatTrak™ SSG 08 | Turbo Peek (Battle-Scarred)/1361.89
P90 | Shapewood (Field-Tested)/233.54
Sawed-Off | Devourer (Battle-Scarred)/327.44
M4A1-S | Hyper Beast (Battle-Scarred)/1450.01
Operation Hydra Case Key/248.01
USP-S | Black Lotus (Field-Tested)/109.29
★ Hand Wraps | Constrictor (Battle-Scarred)/6457.9
M4A4 | X-Ray (Minimal Wear)/1394.04
StatTrak™ MAC-10 | Neon Rider (Field-Tested)/1568.43
P250 | Nevermore (Factory New)/165.09
AK-47 | Redline (Battle-Scarred)/1261.98
R8 Revolver | Blaze (Minimal Wear)/213.94
Trapper Aggressor | Guerrilla Warfare/723.59
AK-47 | Steel Delta (Well-Worn)/276.37
M4A1-S | Night Terror (Battle-Scarred)/284.82
MAG-7 | Carbon Fiber (Minimal Wear)/316.56
MP9 | Starlight Protector (Factory New)/3205.09
SSG 08 | Bloodshot (Well-Worn)/949.99
StatTrak™ Dual Berettas | Flora Carnivora (Field-Tested)/151.48
StatTrak™ AUG | Stymphalian (Field-Tested)/349.96
P250 | Wingshot (Battle-Scarred)/111.29
R8 Revolver | Fade (Minimal Wear)/1212.73
AWP | Fever Dream (Minimal Wear)/1161.47
MAG-7 | BI83 Spectrum (Battle-Scarred)/111.81
Dual Berettas | Melondrama (Minimal Wear)/440.64
M4A1-S | Briefing (Field-Tested)/422.09
P2000 | Imperial Dragon (Minimal Wear)/612.73
MP9 | Food Chain (Well-Worn)/156.45
M4A1-S | Player Two (Battle-Scarred)/1967.03
AWP | Chromatic Aberration (Factory New)/3701.22
Berlin 2019 Legends (Holo-Foil)/146.05
Glock-18 | Water Elemental (Field-Tested)/560.01
MP7 | Neon Ply (Well-Worn)/118.59
MP9 | Hydra (Battle-Scarred)/410.0
StatTrak™ Dual Berettas | Melondrama (Battle-Scarred)/259.18
MAG-7 | Seabird (Well-Worn)/136.02
FAMAS | Rapid Eye Movement (Battle-Scarred)/145.77
StatTrak™ P90 | Vent Rush (Minimal Wear)/308.06
Glock-18 | Royal Legion (Field-Tested)/254.73
USP-S | Black Lotus (Well-Worn)/103.47
R8 Revolver | Crazy 8 (Minimal Wear)/136.02
M4A4 | Tooth Fairy (Field-Tested)/393.77
StatTrak™ Five-SeveN | Angry Mob (Battle-Scarred)/882.66
MP7 | Bloodsport (Well-Worn)/229.74
AWP | Phobos (Field-Tested)/133.43
StatTrak™ AUG | Arctic Wolf (Battle-Scarred)/279.0
StatTrak™ M4A1-S | Night Terror (Field-Tested)/437.65
AUG | Death by Puppy (Field-Tested)/601.96
StatTrak™ Desert Eagle | Trigger Discipline (Battle-Scarred)/144.16
M4A1-S | Emphorosaur-S (Field-Tested)/129.84
Sugarface Capsule/107.8
MP7 | Special Delivery (Battle-Scarred)/162.77
Nova | Toy Soldier (Minimal Wear)/175.91
M249 | Impact Drill (Well-Worn)/149.5
StatTrak™ USP-S | Flashback (Well-Worn)/279.39
UMP-45 | Scaffold (Field-Tested)/135.03
StatTrak™ P250 | Wingshot (Battle-Scarred)/225.3
StatTrak™ Five-SeveN | Retrobution (Battle-Scarred)/125.31
M4A4 | Tooth Fairy (Minimal Wear)/675.48
StatTrak™ R8 Revolver | Crazy 8 (Battle-Scarred)/98.95
PP-Bizon | Embargo (Well-Worn)/133.36
USP-S | Neo-Noir (Battle-Scarred)/1676.32
StatTrak™ MP9 | Goo (Battle-Scarred)/100.86
P250 | Inferno (Minimal Wear)/154.62
StatTrak™ Glock-18 | Weasel (Battle-Scarred)/109.54
CZ75-Auto | Tacticat (Factory New)/171.5
MP9 | Hydra (Well-Worn)/477.29
Halo Capsule/120.0
Dual Berettas | Royal Consorts (Minimal Wear)/146.02
Desert Eagle | Naga (Battle-Scarred)/136.85
Nova | Koi (Minimal Wear)/103.5
AUG | Bengal Tiger (Field-Tested)/463.91
Sawed-Off | The Kraken (Factory New)/884.2
Chicken Capsule/108.14
StatTrak™ SCAR-20 | Grotto (Factory New)/136.81
MAC-10 | Aloha (Field-Tested)/353.98
AUG | Random Access (Well-Worn)/160.0
MAC-10 | Neon Rider (Minimal Wear)/863.58
P250 | See Ya Later (Field-Tested)/339.56
PP-Bizon | Blue Streak (Field-Tested)/166.12
AUG | Amber Fade (Factory New)/196.49
M249 | Impact Drill (Battle-Scarred)/137.97
MAC-10 | Ultraviolet (Field-Tested)/206.01
Slid3 Capsule/104.61
Music Kit | Various Artists, Hotline Miami/441.56
CZ75-Auto | Vendetta (Factory New)/121.7
Glock-18 | Grinder (Field-Tested)/211.57
M4A4 | Evil Daimyo (Minimal Wear)/328.01
StatTrak™ P250 | Visions (Field-Tested)/834.59
StatTrak™ P250 | Visions (Battle-Scarred)/863.58
MP7 | Special Delivery (Field-Tested)/136.71
AWP | Mortis (Factory New)/983.18
AK-47 | Red Laminate (Field-Tested)/4001.71
M4A4 | Tooth Fairy (Factory New)/1126.7
Dual Berettas | Flora Carnivora (Minimal Wear)/140.0
AWP | Duality (Factory New)/3193.61
MP7 | Neon Ply (Field-Tested)/155.32
SSG 08 | Dark Water (Field-Tested)/232.27
MP7 | Ocean Foam (Factory New)/419.42
Galil AR | Chromatic Aberration (Well-Worn)/154.53
StatTrak™ Sawed-Off | Kiss♥Love (Battle-Scarred)/572.64
FAMAS | Roll Cage (Battle-Scarred)/299.92
Music Kit | Chipzel, ~Yellow Magic~/152.91
Soldier | Phoenix/179.06
P90 | Nostalgia (Field-Tested)/612.28
Dual Berettas | Dezastre (Well-Worn)/217.32
M4A4 | Converter (Minimal Wear)/148.07
USP-S | Stainless (Field-Tested)/481.81
M4A1-S | Decimator (Well-Worn)/1667.5
SSG 08 | Big Iron (Field-Tested)/780.11
StatTrak™ SG 553 | Darkwing (Field-Tested)/97.99
Five-SeveN | Boost Protocol (Minimal Wear)/225.29
AWP | Safari Mesh (Factory New)/336.51
MAG-7 | BI83 Spectrum (Minimal Wear)/172.47
Glock-18 | Bullet Queen (Minimal Wear)/1709.54
AWP | Phobos (Minimal Wear)/159.85
MAG-7 | Praetorian (Well-Worn)/182.82
FAMAS | Commemoration (Well-Worn)/1518.01
M4A1-S | Decimator (Minimal Wear)/2415.0
StatTrak™ MP9 | Airlock (Well-Worn)/334.61
P250 | Vino Primo (Field-Tested)/350.2
StatTrak™ MAC-10 | Rangeen (Factory New)/143.75
M4A4 | Tooth Fairy (Battle-Scarred)/345.0
AWP | Duality (Battle-Scarred)/656.02
StatTrak™ M4A1-S | Emphorosaur-S (Battle-Scarred)/310.31
StatTrak™ AUG | Arctic Wolf (Field-Tested)/470.31
StatTrak™ Glock-18 | Vogue (Field-Tested)/778.0
Sawed-Off | Wasteland Princess (Minimal Wear)/420.86
StatTrak™ P250 | See Ya Later (Battle-Scarred)/952.96
Dual Berettas | Flora Carnivora (Factory New)/307.06
Galil AR | Tuxedo (Field-Tested)/106.53
StatTrak™ AWP | Duality (Field-Tested)/2099.99
M4A4 | Buzz Kill (Field-Tested)/1081.81
USP-S | Neo-Noir (Field-Tested)/1895.75
StatTrak™ MP5-SD | Agent (Well-Worn)/129.04
Five-SeveN | Urban Hazard (Minimal Wear)/100.92
AWP | Capillary (Factory New)/225.17
M4A4 | Desert-Strike (Well-Worn)/498.32
P90 | Asiimov (Battle-Scarred)/620.31
UMP-45 | Scaffold (Battle-Scarred)/127.11
