USP-S | Printstream (Battle-Scarred)/238.5
M4A4 | The Coalition (Battle-Scarred)/54.64
Glock-18 | Snack Attack (Battle-Scarred)/17.0
★ Broken Fang Gloves | Needle Point (Battle-Scarred)/374.99
Glock-18 | Snack Attack (Field-Tested)/22.77
StatTrak™ Desert Eagle | Naga (Battle-Scarred)/22.9
AUG | Death by Puppy (Field-Tested)/34.8
★ Broken Fang Gloves | Unhinged (Battle-Scarred)/385.0
SG 553 | Integrale (Well-Worn)/74.5
StatTrak™ AK-47 | Legion of Anubis (Battle-Scarred)/133.3
★ Navaja Knife | Safari Mesh (Field-Tested)/549.5
FAMAS | Eye of Athena (Field-Tested)/23.7
AK-47 | Orbit Mk01 (Battle-Scarred)/68.57
MAC-10 | Neon Rider (Well-Worn)/42.65
M4A4 | Asiimov (Battle-Scarred)/373.88
AK-47 | Aquamarine Revenge (Battle-Scarred)/104.89
★ Moto Gloves | 3rd Commando Company (Battle-Scarred)/404.3
StatTrak™ AWP | Fever Dream (Battle-Scarred)/92.0
Glock-18 | Nuclear Garden (Battle-Scarred)/23.7
M4A4 | Neo-Noir (Well-Worn)/28.08
★ Hydra Gloves | Rattler (Battle-Scarred)/349.0
StatTrak™ USP-S | The Traitor (Battle-Scarred)/179.5
StatTrak™ M4A1-S | Leaded Glass (Field-Tested)/70.5
★ Hydra Gloves | Mangrove (Field-Tested)/334.5
M4A4 | Desolate Space (Field-Tested)/32.0
StatTrak™ M4A4 | 龍王 (Dragon King) (Battle-Scarred)/87.88
AK-47 | Jaguar (Battle-Scarred)/178.49
P90 | Asiimov (Battle-Scarred)/33.55
StatTrak™ FAMAS | Mecha Industries (Field-Tested)/41.0
★ Hydra Gloves | Rattler (Field-Tested)/353.0
P90 | Asiimov (Field-Tested)/48.8
Glock-18 | Bullet Queen (Well-Worn)/34.9
StatTrak™ AWP | Exoskeleton (Well-Worn)/30.0
M4A4 | Desolate Space (Minimal Wear)/55.9
SSG 08 | Turbo Peek (Field-Tested)/28.0
FAMAS | Mecha Industries (Field-Tested)/18.19
StatTrak™ Five-SeveN | Angry Mob (Battle-Scarred)/47.0
StatTrak™ AWP | Atheris (Battle-Scarred)/29.75
AK-47 | Emerald Pinstripe (Battle-Scarred)/32.5
AWP | Man-o'-war (Field-Tested)/238.68
StatTrak™ USP-S | Cyrex (Battle-Scarred)/21.65
Desert Eagle | Kumicho Dragon (Battle-Scarred)/78.8
SG 553 | Cyrex (Battle-Scarred)/22.17
SSG 08 | Bloodshot (Battle-Scarred)/50.12
StatTrak™ Desert Eagle | Printstream (Battle-Scarred)/381.75
Crasswater The Forgotten | Guerrilla Warfare/48.4
Desert Eagle | Code Red (Battle-Scarred)/105.9
UMP-45 | Primal Saber (Minimal Wear)/26.0
