M4A4 | Evil Daimyo (Field-Tested)/7.5
M4A4 | In Living Color (Field-Tested)/29.2
AWP | Fever Dream (Field-Tested)/43.1
Rezan The Ready | Sabre/12
Glock-18 | Nuclear Garden (Field-Tested)/28.1
AK-47 | Rat Rod (Well-Worn)/18.2
M4A1-S | Leaded Glass (Field-Tested)/22.1
USP-S | Cortex (Well-Worn)/9.1
AWP | POP AWP (Field-Tested)/12.8
AK-47 | Legion of Anubis (Field-Tested)/49.3
MAC-10 | Disco Tech (Battle-Scarred)/8.9
AUG | Chameleon (Field-Tested)/19.1
AWP | Mortis (Field-Tested)/8.8
FAMAS | Roll Cage (Well-Worn)/14.4
P90 | Asiimov (Battle-Scarred)/32.1
M4A4 | 龍王 (Dragon King) (Battle-Scarred)/32.1
AWP | Chromatic Aberration (Battle-Scarred)/48.7
M4A4 | Desolate Space (Battle-Scarred)/19.8
Desert Eagle | Code Red (Battle-Scarred)/88
AK-47 | Aquamarine Revenge (Battle-Scarred)/102
Glock-18 | Nuclear Garden (Battle-Scarred)/25.3
USP-S | Guardian (Field-Tested)/13.9
AK-47 | Rat Rod (Battle-Scarred)/18.1
M4A1-S | Basilisk (Field-Tested)/18.9
FAMAS | Roll Cage (Battle-Scarred)/13.4
StatTrak™ AWP | Mortis (Field-Tested)/22.7
StatTrak™ USP-S | Cortex (Battle-Scarred)/19.8
Desert Eagle | Naga (Battle-Scarred)/6.1
StatTrak™ Desert Eagle | Light Rail (Field-Tested)/12.4
M4A4 | Buzz Kill (Battle-Scarred)/38.7
MP7 | Abyssal Apparition (Battle-Scarred)/7
AWP | Exoskeleton (Well-Worn)/10.6
M4A4 | In Living Color (Battle-Scarred)/20.2
P250 | Franklin (Minimal Wear)/7.2
Desert Eagle | Naga (Well-Worn)/6.3
AWP | Atheris (Well-Worn)/9.2
M4A1-S | Nightmare (Battle-Scarred)/29.9
Desert Eagle | Mecha Industries (Battle-Scarred)/20.2
Glock-18 | Wasteland Rebel (Field-Tested)/25.1
M4A4 | Tooth Fairy (Battle-Scarred)/17.2
M4A1-S | Hyper Beast (Battle-Scarred)/67
AWP | Atheris (Battle-Scarred)/8.9
M4A4 | Neo-Noir (Battle-Scarred)/18.5
StatTrak™ USP-S | Flashback (Field-Tested)/6.9
M4A4 | 龍王 (Dragon King) (Field-Tested)/31.7
SSG 08 | Turbo Peek (Field-Tested)/24.2
AK-47 | Rat Rod (Field-Tested)/18.4
MP7 | Bloodsport (Battle-Scarred)/7.4
AK-47 | Aquamarine Revenge (Well-Worn)/108
Glock-18 | Bullet Queen (Minimal Wear)/88
StatTrak™ AK-47 | Neon Revolution (Battle-Scarred)/197
Lt. Commander Ricksaw | NSWC SEAL/43.2
AK-47 | Rat Rod (Minimal Wear)/22.9
AK-47 | Green Laminate (Minimal Wear)/64
CZ75-Auto | Victoria (Field-Tested)/29.1
Officer Jacques Beltram | Gendarmerie Nationale/25.2
Five-SeveN | Angry Mob (Minimal Wear)/33.5
AK-47 | Emerald Pinstripe (Battle-Scarred)/32.1
Glock-18 | Neo-Noir (Minimal Wear)/116
P250 | Asiimov (Battle-Scarred)/8.4
USP-S | Cortex (Battle-Scarred)/8.8
AK-47 | Slate (Well-Worn)/11.3
Desert Eagle | Mecha Industries (Field-Tested)/21.5
AK-47 | Slate (Field-Tested)/13.5
Anubis Collection Package/9.5
M4A1-S | Player Two (Battle-Scarred)/71
StatTrak™ M4A4 | In Living Color (Battle-Scarred)/59
Desert Eagle | Mecha Industries (Minimal Wear)/30.6
P2000 | Fire Elemental (Field-Tested)/41.9
AK-47 | Blue Laminate (Field-Tested)/46.6
AK-47 | Orbit Mk01 (Field-Tested)/57
AK-47 | Redline (Battle-Scarred)/64
StatTrak™ M4A1-S | Emphorosaur-S (Field-Tested)/19.6
AWP | Corticera (Field-Tested)/70
AWP | Hyper Beast (Battle-Scarred)/108
FAMAS | Commemoration (Field-Tested)/81
AWP | Hyper Beast (Field-Tested)/200
USP-S | Blueprint (Field-Tested)/30.5
Glock-18 | Gamma Doppler (Field-Tested)/152
AWP | Neo-Noir (Battle-Scarred)/116
USP-S | Neo-Noir (Battle-Scarred)/64
Desert Eagle | Ocean Drive (Battle-Scarred)/66
M4A4 | Neo-Noir (Field-Tested)/29.2
AK-47 | Phantom Disruptor (Battle-Scarred)/23.5
Glock-18 | Neo-Noir (Battle-Scarred)/38
Glock-18 | Bullet Queen (Well-Worn)/29.8
Desert Eagle | Kumicho Dragon (Battle-Scarred)/69
M4A1-S | Mecha Industries (Field-Tested)/133
Desert Eagle | Ocean Drive (Well-Worn)/87
StatTrak™ AWP | Fever Dream (Field-Tested)/86
AK-47 | Neon Rider (Battle-Scarred)/138
StatTrak™ AK-47 | Slate (Well-Worn)/37.7
M4A1-S | Nightmare (Well-Worn)/35.6
Desert Eagle | Code Red (Well-Worn)/99
AK-47 | Legion of Anubis (Battle-Scarred)/38.8
AK-47 | The Empress (Battle-Scarred)/112
Glock-18 | Water Elemental (Minimal Wear)/36.8
AK-47 | The Empress (Field-Tested)/163
USP-S | The Traitor (Field-Tested)/74
Glock-18 | Neo-Noir (Well-Worn)/43.1
M4A1-S | Decimator (Field-Tested)/55
M4A4 | The Battlestar (Field-Tested)/21.6
AK-47 | Jaguar (Battle-Scarred)/196
AK-47 | Baroque Purple (Battle-Scarred)/21.5
StatTrak™ MP7 | Bloodsport (Field-Tested)/21.5
AK-47 | Frontside Misty (Battle-Scarred)/52
AK-47 | Green Laminate (Field-Tested)/60
